"Species","Latitude","Longitude","species","decimalLatitude","decimalLongitude"
"Machaerium punctatum",-21.4019444444444,-41.0822222222222,NA,NA,NA
"Anadenanthera peregrina",-21.3713888888889,-41.0961111111111,NA,NA,NA
"Machaerium punctatum",-21.4111111111111,-41.0816666666667,NA,NA,NA
"Pseudopiptadenia contorta",-21.4275,-41.0797222222222,NA,NA,NA
"Scinax alter",-21.32,-41.1502777777778,NA,NA,NA
"Leptodactylus latrans",-21.4538888888889,-41.2175,NA,NA,NA
"Platymiscium floribundum",-21.3797222222222,-41.0811111111111,NA,NA,NA
NA,NA,NA,"Cylichna discus",-21.383077,-40.254641
NA,NA,NA,"Diplocirrus rugosus",-21.3829,-40.2544
NA,NA,NA,"Speziorchestia tucurauna",-21.412113,-41.003921
NA,NA,NA,"Trivia candidula",-21.381991,-40.258744
NA,NA,NA,"Ampelisca brevisimulata",-21.5647222222222,-41.0181058333333
NA,NA,NA,"Bacteridium resticulum",-21.392694,-40.262038
NA,NA,NA,"Paradialychone americana",-21.3827383,-40.2543467
NA,NA,NA,"Ampelisca brevisimulata",-21.3843544444444,-40.7149722222222
NA,NA,NA,"Oncaea media",-21.404,-40.23433
NA,NA,NA,"Pollichthys mauli",-21.3963,-40.34697
NA,NA,NA,"Beania americana",-21.5580441666667,-41.0062963888889
NA,NA,NA,"Cosmotriphora arnoldoi",-21.392694,-40.262038
NA,NA,NA,"Cyclaspis oxyura",-21.5650638888889,-40.3128694444444
NA,NA,NA,"Ctenogobius boleosoma",-21.407671,-40.980774
NA,NA,NA,"Calliostoma hassler",-21.381833,-40.330133
NA,NA,NA,"Triphora elvirae",-21.381755,-40.330711
NA,NA,NA,"Pyrunculus caelatus",-21.383077,-40.254641
NA,NA,NA,"Penaeus brasiliensis",-21.6,-40.7667
NA,NA,NA,"Puelche orensanzi",-21.5729169444444,-40.6166036111111
NA,NA,NA,"Microphoxus breviramus",-21.5909797222222,-40.6166036111111
NA,NA,NA,"Tiburonella viscana",-21.5701638888889,-40.5291777777778
NA,NA,NA,"Ophionereis squamulosa",-21.517,-40.3
NA,NA,NA,"Tiburonella viscana",-21.4661416666667,-40.8138583333333
NA,NA,NA,"Pyrunculus caelatus",-21.381991,-40.258744
NA,NA,NA,"Paranaitis cordiformata",-21.3939,-40.2603
NA,NA,NA,"Centrobranchus nigroocellatus",-21.3875,-40.7444444444
NA,NA,NA,"Cuvierina columnella",-21.383077,-40.254641
NA,NA,NA,"Seila adamsii",-21.517,-40.3
NA,NA,NA,"Myrophis punctatus",-21.616188,-41.016581
NA,NA,NA,"Rhizophora mangle",-21.3102,-40.9612
NA,NA,NA,"Thyrsitops lepidopoides",-21.4333,-40.3
NA,NA,NA,"Chevalia mexicana",-21.586615,-40.5562222222222
NA,NA,NA,"Tiburonella viscana",-21.5633805555556,-40.5238388888889
NA,NA,NA,"Plesionika miles",-21.4236833333333,-40.2218333333333
NA,NA,NA,"Clausocalanus brevipes",-21.404,-40.23433
NA,NA,NA,"Metaxia rugulosa",-21.425375,-40.528442
NA,NA,NA,"Tiburonella viscana",-21.5702083333333,-40.4253444444444
NA,NA,NA,"Cerithiopsis flava",-21.392694,-40.262038
NA,NA,NA,"Melampus coffea",-21.314401,-40.956927
NA,NA,NA,"Temora stylifera",-21.38583,-40.74
NA,NA,NA,"Micropogonias furnieri",-21.45,-40.8333
NA,NA,NA,"Phrontis alba",-21.381991,-40.258744
NA,NA,NA,"Rypticus randalli",-21.407671,-40.980774
NA,NA,NA,"Aspistor luniscutis",-21.616188,-41.016581
NA,NA,NA,"Ampelisca brevisimulata",-21.5777205555556,-40.5880805555556
NA,NA,NA,"Stenocionops spinosissimus",-21.4236833333333,-40.2218333333333
NA,NA,NA,"Cadulus eliezeri",-21.383077,-40.254641
NA,NA,NA,"Ampelisca brevisimulata",-21.6090413888889,-40.6359191666667
NA,NA,NA,"Belzebub faxoni",-21.3963,-40.3469666667
NA,NA,NA,"Lestidium atlanticum",-21.3963,-40.34697
NA,NA,NA,"Ericthonius punctatus",-21.5777205555556,-40.5880805555556
NA,NA,NA,"Ampelisca pseudobicarinata",-21.5646027777778,-40.5276472222222
NA,NA,NA,"Oikopleura (Coecaria) fusiformis",-21.3875,-40.7444444444
NA,NA,NA,"Tricleocarpa fragilis",-21.517,-40.3
NA,NA,NA,"Eucinostomus argenteus",-21.39528,-40.99389
NA,NA,NA,"Gadila simpsoni",-21.383077,-40.254641
NA,NA,NA,"Caulerpa murrayi",-21.329,-40.333
NA,NA,NA,"Seguenzia formosa",-21.383077,-40.254641
NA,NA,NA,"Glycera americana",-21.5,-40.3
NA,NA,NA,"Cosmotriphora melanura",-21.381755,-40.330711
NA,NA,NA,"Paralonchurus brasiliensis",-21.5667,-41
NA,NA,NA,"Penaeus brasiliensis",-21.6,-40.6
NA,NA,NA,"Metaxia rugulosa",-21.381833,-40.330133
NA,NA,NA,"Gibberosus myersi",-21.46615,-40.9407361111111
NA,NA,NA,"Tiburonella viscana",-21.563525,-40.8138111111111
NA,NA,NA,"Pleuromamma gracilis",-21.404,-40.23433
NA,NA,NA,"Cyclaspis striata",-21.4673727777778,-40.2570361111111
NA,NA,NA,"Leodice marcusi",-21.345,-40.595
NA,NA,NA,"Avicennia germinans",-21.3091,-40.9594
NA,NA,NA,"Modulus modulus",-21.425375,-40.528442
NA,NA,NA,"Ampelisca brevisimulata",-21.5701638888889,-40.5241888888889
NA,NA,NA,"Intermedichelia gracilis",-21.5884416666667,-40.8258333333333
NA,NA,NA,"Anatoma copiosa",-21.381991,-40.258744
NA,NA,NA,"Triphora elvirae",-21.381833,-40.330133
NA,NA,NA,"Turbonilla portoricana",-21.381833,-40.330133
NA,NA,NA,"Gabrielona sulcifera",-21.381991,-40.258744
NA,NA,NA,"Emarginula tuberculosa",-21.383077,-40.254641
NA,NA,NA,"Isopisthus parvipinnis",-21.616188,-41.016581
NA,NA,NA,"Sphoeroides marmoratus",-21.616188,-41.016581
NA,NA,NA,"Syacium papillosum",-21.3963,-40.34697
NA,NA,NA,"Panulirus laevicauda",-21.45,-40.8333
NA,NA,NA,"Caulerpa lanuginosa",-21.334,-40.85
NA,NA,NA,"Acteocina lepta",-21.381833,-40.330133
NA,NA,NA,"Paracalanus quasimodo",-21.3875,-40.7444444444
