"datasetName","decimalLongitude","decimalLatitude","depth","scientificName"
"gbif",-82.9613,24.56852,21.2,"Halichoeres poeyi"
"gbif",-82.92727,24.58163,15.7,"Halichoeres poeyi"
"gbif",-82.92698,24.58212,13.1,"Halichoeres poeyi"
"gbif",-82.85003,24.72221,17.2,"Halichoeres poeyi"
"gbif",-82.92723,24.58179,14.3,"Halichoeres poeyi"
"gbif",-82.96883,24.63093,22.6,"Halichoeres poeyi"
"obis",-80.3733833,25.0665,2.3,"Halichoeres poeyi"
"obis",-81.98917,24.46591,7.3,"Halichoeres poeyi"
"obis",-80.23362,25.21205,3,"Halichoeres poeyi"
"obis",-80.1233332,25.4424,3.5,"Halichoeres poeyi"
"obis",-80.3311332,25.08195,5.2,"Halichoeres poeyi"
"obis",-80.1610999,25.39115,5.6,"Halichoeres poeyi"
"obis",-80.2681999,25.15515,6.1,"Halichoeres poeyi"
"obis",-81.0529332,24.6480333,6.6,"Halichoeres poeyi"
"obis",-80.2349667,25.1819833,10.2,"Halichoeres poeyi"
"obis",-83.0587833,24.6378167,13.1,"Halichoeres poeyi"
"obis",-81.5274166,24.52265,4.9,"Halichoeres poeyi"
"obis",-80.8851167,24.7092333,7,"Halichoeres poeyi"
"obis",-80.37229,25.02252,3.8,"Halichoeres poeyi"
"obis",-80.6215833,24.8501167,2.9,"Halichoeres poeyi"
"obis",-81.3269666,24.5699667,6.7,"Halichoeres poeyi"
"obis",-80.4887999,24.9378667,7.3,"Halichoeres poeyi"
"obis",-81.8095,24.4775833,7.8,"Halichoeres poeyi"
"obis",-83.03559,24.63598,14.3,"Halichoeres poeyi"
"obis",-81.1352167,24.6204333,8.2,"Halichoeres poeyi"
"obis",-83.0557167,24.6790333,21.6,"Halichoeres poeyi"
"obis",-80.1533999,25.3576833,8.2,"Halichoeres poeyi"
"obis",-81.8317666,24.47735,5.2,"Halichoeres poeyi"
"obis",-81.4731167,24.53505,7.6,"Halichoeres poeyi"
"obis",-80.349817,25.03855,3.1,"Halichoeres poeyi"
"obis",-80.4164,24.9909167,2.4,"Halichoeres poeyi"
"obis",-80.93216,24.69791,4,"Halichoeres poeyi"
"obis",-81.7071333,24.4847,2.3,"Halichoeres poeyi"
"obis",-80.5083333,24.9201,6.9,"Halichoeres poeyi"
"obis",-80.531633,24.910417,4.9,"Halichoeres poeyi"
"obis",-80.50191,24.93714,5.4,"Halichoeres poeyi"
"obis",-80.75921,24.76333,6.6,"Halichoeres poeyi"
"obis",-81.8784333,24.4515834,8.5,"Halichoeres poeyi"
"obis",-80.16342,25.39831,2.7,"Halichoeres poeyi"
